"关键词列表（逗号分隔）","语言","回复内容"
"수거,배달,픽업,방문 수거,배송,수거 돼요?,배달 돼요?,집으로 와주세요,수거 서비스,배달 서비스","ko","무료 방문 수거 및 배달 서비스를 제공합니다! 📦 LINE 또는 공식 웹사이트를 통해 예약하실 수 있습니다! 🚚 쟝추이베이린(江翠北芳鄰)은 1개 품목부터 무료 수거 및 배달이 가능하며, 반차오(板橋), 신좡(新莊), 싼총(三重), 중허(中和), 융허(永和) 지역은 3개 품목 이상 또는 500달러 이상이면 무료입니다. 관리실에 맡기시고 저희에게 알려주시면 됩니다! 👕"
"清洗服務,清潔服務,洗衣服務,洗什麼,可以洗什麼,服務項目,清洗項目,清潔項目,洗衣項目,地毯,有洗地毯,有清洗地毯,窗簾,有洗窗簾,有清洗窗簾","zh-TW","我們提供各式衣物、包包、地毯等清洗服務，您可以告訴我們具體需求，我們會根據狀況安排清洗。🧹"
"清洗服务,清洁服务,洗衣服务,洗什么,可以洗什么,服务项目,清洗项目,清洁项目,洗衣项目,地毯,有洗地毯,有清洗地毯,窗帘,有洗窗帘,有清洗窗帘","zh-CN","我们提供各式衣物、包包、地毯等清洗服务，您可以告诉我们具体需求，我们会根据状况安排清洗。🧹"
"cleaning service,laundry service,wash service,what do you wash,services,cleaning items,laundry items,carpet,carpet cleaning,curtain,curtain cleaning","en","We provide cleaning services for various items such as clothes, bags, carpets, etc. Please let us know your specific needs, and we will arrange cleaning based on the situation. 🧹"
"クリーニングサービス,洗濯サービス,洗濯,何を洗える,サービス内容,クリーニング品目,洗濯品目,カーペット,カーペットクリーニング,カーテン,カーテンクリーニング","ja","衣類、バッグ、カーペットなど、様々なクリーニングサービスを提供しております。具体的なご要望をお知らせいただければ、状況に応じてクリーニングを手配いたします。🧹"
"세탁 서비스,클리닝 서비스,뭐 세탁,무슨 세탁,세탁 종류,세탁 품목,세탁 서비스 종류,클리닝 품목,카펫,카펫 세탁,커튼,커튼 세탁","ko","저희는 의류, 가방, 카펫 등 다양한 품목에 대한 세탁 서비스를 제공합니다. 구체적인 요구 사항을 알려주시면 상황에 따라 세탁을 준비해 드리겠습니다. 🧹"
"清潔時間,拿到,洗要多久,多久,會好,送洗時間,清洗要多久,洗多久,何時好,何時可以拿,多久洗好","zh-TW","我們的清潔時間一般約 7-10 個工作天⏰，完成後會自動通知您喔！謝謝您⏳"
"清洁时间,拿到,洗要多久,多久,会好,送洗时间,清洗要多久,洗多久,何时好,何时可以拿,多久洗好","zh-CN","我们的清洁时间一般约 7-10 个工作天⏰，完成后会自动通知您喔！谢谢您⏳"
"cleaning time,get back,how long to clean,how long,when will be ready,delivery time,how long does it take,when can I get it,turnaround time","en","Our cleaning time is generally about 7-10 business days ⏰. We will automatically notify you when it's done! Thank you ⏳"
"クリーニング時間,受け取り,洗濯時間,どのくらい,いつできる,配達時間,何日かかる,いつ受け取れる,仕上がり時間","ja","クリーニング時間は通常7～10営業日です⏰完了したら自動的にお知らせします。ありがとうございます⏳"
"세탁 시간,찾으러,얼마나 걸려,세탁 얼마나 걸려요,언제 돼,언제 찾을 수 있어,걸리는 시간,세탁 완료 시간,찾아갈 시간","ko","세탁 시간은 일반적으로 7-10 영업일 정도 소요됩니다 ⏰. 완료되면 자동으로 알려드립니다! 감사합니다 ⏳"
"洗好,洗好了嗎,進度,好了嗎,完成了嗎,洗到哪,洗到哪了,進度查詢,查詢進度,洗完沒,洗好了没","zh-TW","營業時間會馬上查詢您的清洗進度😊，並回覆您！謝謝您🔍"
"洗好,洗好了吗,进度,好了吗,完成了吗,洗到哪,洗到哪了,进度查询,查询进度,洗完没,洗好了没","zh-CN","营业时间会马上查询您的清洗进度😊，并回复您！谢谢您🔍"
"done,ready,progress,is it done,is it ready,status,check progress,how's the progress,where is my laundry,finished yet","en","During business hours, we will immediately check your cleaning progress 😊 and reply to you! Thank you 🔍"
"洗い上がり,終わった,進捗,終わりましたか,完了しましたか,ステータス,進捗確認,どうなってる,仕上がり,洗濯物どこ","ja","営業時間内にクリーニングの進捗状況を確認し、すぐにご返信いたします😊ありがとうございます🔍"
"다 됐어?,다 됐나요,진행 상황,진행,됐나,어디까지 됐어,어디까지 진행됐어,진행 확인,세탁물 확인,끝났어?,세탁 끝났나요","ko","영업시간 중에는 즉시 세탁 진행 상황을 확인하고 😊 답변드리겠습니다! 감사합니다 🔍"
"油漬,油污,油垢,油斑,油漬處理,油污處理","zh-TW","油漬我們有專門的處理方式，大部分都可以變淡，請放心！🍳"
"油渍,油污,油垢,油斑,油渍处理,油污处理","zh-CN","油渍我们有专门的处理方式，大部分都可以变淡，请放心！🍳"
"oil stain,grease stain,oil mark,grease mark,oil stain treatment,grease stain treatment","en","We have special treatments for oil stains, most of them can be lightened, please rest assured! 🍳"
"油汚れ,油染み,油,油汚れ処理,油染み処理","ja","油汚れには専門の処理方法があり、ほとんどの場合は薄くすることができますのでご安心ください！🍳"
"기름 얼룩,기름때,기름,기름 얼룩 제거,기름때 제거,기름 지워지나요","ko","기름 얼룩은 전문적인 처리 방법이 있으며, 대부분 옅어질 수 있으니 안심하세요! 🍳"
"血漬,血跡,血污,血斑,血漬處理,血跡處理","zh-TW","血漬我們會盡力處理，但成功率視沾染時間和材質而定喔！💉"
"血渍,血迹,血污,血斑,血渍处理,血迹处理","zh-CN","血渍我们会尽力处理，但成功率视沾染时间和材质而定喔！💉"
"blood stain,blood mark,blood spot,blood stain treatment,blood mark treatment","en","We will try our best to deal with blood stains, but the success rate depends on the staining time and material! 💉"
"血,血痕,血染み,血汚れ,血染み処理,血汚れ処理","ja","血液のシミはできる限り対応しますが、成功率は付着時間と素材によって異なります！💉"
"피 얼룩,혈흔,피,피 얼룩 제거,피 지워지나요,피 빼주세요","ko","피 얼룩은 최선을 다해 처리해 드리겠지만, 성공률은 얼룩진 시간과 재질에 따라 달라집니다! 💉"
"醬油,醬油漬,醬油污漬,醬油斑,醬油漬處理,醬油污漬處理","zh-TW","醬油污漬我們有專門的處理方式，大部分都可以變淡，請放心！🍶"
"酱油,酱油渍,酱油污渍,酱油斑,酱油渍处理,酱油污渍处理","zh-CN","酱油污渍我们有专门的处理方式，大部分都可以变淡，请放心！🍶"
"soy sauce stain,soy sauce mark,soy sauce spot,soy sauce stain treatment,soy sauce mark treatment","en","We have special treatments for soy sauce stains, most of them can be lightened, please rest assured! 🍶"
"醤油,醤油染み,醤油汚れ,醤油染み処理,醤油汚れ処理","ja","醤油のシミには専門の処理方法があり、ほとんどの場合は薄くすることができますのでご安心ください！🍶"
"간장,간장 얼룩,간장 자국,간장 얼룩 제거,간장 지워지나요,간장 빼주세요","ko","간장 얼룩은 전문적인 처리 방법이 있으며, 대부분 옅어질 수 있으니 안심하세요! 🍶"
"污漬,髒污,污垢,汙漬,髒汙,汙垢,污漬處理,髒污處理,汙漬處理,ทั่วไป stain,洗的掉","zh-TW","我們會針對污漬做專門處理，大部分污漬都可以變淡，但成功率視污漬種類與衣物材質而定喔！✨"
"污渍,脏污,污垢,汙渍,脏汙,汙垢,污渍处理,脏污处理,汙渍处理,ทั่วไป stain,洗的掉","zh-CN","我们会针对污渍做专门处理，大部分污渍都可以变淡，但成功率视污渍种类与衣物材质而定喔！✨"
"stain,dirt,mark,spot,stain treatment,dirt treatment,mark treatment,can be washed off,washable stain","en","We will treat stains specifically, most stains can be lightened, but the success rate depends on the type of stain and the material of the clothing! ✨"
"シミ,汚れ,染み,シミ処理,汚れ処理,染み処理,一般的なシミ,洗い落とせる","ja","シミの種類に応じて専門的な処理を行い、ほとんどのシミは薄くすることができますが、成功率はシミの種類や衣類の素材によって異なります！✨"
"얼룩,오염,때,자국,얼룩 제거,오염 제거,자국 제거,일반 얼룩,씻어낼 수 있나요,지워지는 얼룩","ko","얼룩에 대해 전문적으로 처리해 드리며, 대부분의 얼룩은 옅어질 수 있지만 성공률은 얼룩 종류와 의류 재질에 따라 달라집니다! ✨"
"盡力,盡量,盡可能,盡力處理,盡量處理,盡可能處理,努力處理污漬,洗掉","zh-TW","我們會盡力處理污漬，但滲透到纖維或時間較久的污漬可能無法完全去除，請見諒！😊"
"尽力,尽量,尽可能,尽力处理,尽量处理,尽可能处理,努力处理污渍,洗掉","zh-CN","我们会尽力处理污渍，但渗透到纤维或时间较久的污渍可能无法完全去除，请见谅！😊"
"best effort,try best,do my best,try hard,best effort for stain,try best to remove stain,wash off","en","We will do our best to treat stains, but stains that have penetrated into the fibers or are old may not be completely removed, please understand! 😊"
"尽力,できる限り,最大限,尽力して処理,できる限り処理,最大限に処理,シミを頑張って取る,洗い落とす","ja","シミの処理には最善を尽くしますが、繊維に浸透したシミや時間の経過したシミは完全に除去できない場合があります。ご了承ください！😊"
"최대한,최대한 노력,최선을 다해,최대한 처리,노력,최대한 얼룩 제거,힘써서 얼룩 제거,씻어내다","ko","얼룩을 최대한 처리해 드리겠지만, 섬유에 침투했거나 오래된 얼룩은 완전히 제거되지 않을 수 있습니다. 양해 부탁드립니다! 😊"
"染色,染到色,被染色,染色問題,染色處理,處理染色,染色怎麼辦","zh-TW","染色問題我們會盡量處理，但如果滲透到衣物纖維或面積較大，不能保證完全處理喔！🌈"
"染色,染到色,被染色,染色问题,染色处理,处理染色,染色怎么办","zh-CN","染色问题我们会尽量处理，但如果渗透到衣物纤维或面积较大，不能保证完全处理喔！🌈"
"dyeing,dye transfer,color bleed,dyeing issue,dyeing problem,dyeing treatment,color bleed treatment","en","We will try our best to deal with dyeing issues, but if it has penetrated into the clothing fibers or the area is large, complete removal cannot be guaranteed! 🌈"
"染色,色移り,染まってしまった,染色問題,染色処理,色移り処理,染色どうすれば","ja","染色の問題にはできる限り対応しますが、衣類の繊維に浸透していたり、面積が大きい場合は、完全に除去できるとは限りません！🌈"
"염색,이염,물들었어,염색 문제,염색 처리,이염 처리,염색 됐는데,염색 어떡해","ko","염색 문제는 최대한 처리해 드리겠지만, 의류 섬유에 침투했거나 면적이 넓은 경우에는 완전한 처리를 보장할 수 없습니다! 🌈"
"退色,褪色,掉色,退色問題,褪色問題,掉色問題,退色怎麼辦,褪色怎麼辦,掉色怎麼辦","zh-TW","已經退色的衣物是無法恢復的，請見諒！🎨"
"退色,褪色,掉色,退色问题,褪色问题,掉色问题,退色怎么办,褪色怎么办,掉色怎么办","zh-CN","已经退色的衣物是无法恢复的，请见谅！🎨"
"fading,color fade,fade color,fading issue,fading problem,color fading issue,color fade problem","en","Clothes that have already faded cannot be restored, please understand! 🎨"
"退色,色あせ,色落ち,退色問題,色あせ問題,色落ち問題,退色どうすれば,色あせどうすれば,色落ちどうすれば","ja","すでに色あせた衣類は元に戻せません。ご了承ください！🎨"
"탈색,색 바램,색 빠짐,탈색 문제,색 바램 문제,색 빠짐 문제,탈색 됐어,색 바랬어,색 빠졌어,탈색 어떡해,색 바램 어떡해,색 빠짐 어떡해","ko","이미 탈색된 의류는 복원할 수 없습니다. 양해 부탁드립니다! 🎨"
"衣物清洗,衣服清洗,外套清洗,襯衫清洗,褲子清洗,裙子清洗,可以洗衣服嗎,什麼衣服可以洗,各種衣物清洗,是否能清洗衣物","zh-TW","我們提供各式衣物清洗服務，無論是衣服、外套、襯衫等都可以清洗。👕"
"衣物清洗,衣服清洗,外套清洗,衬衫清洗,裤子清洗,裙子清洗,可以洗衣服吗,什么衣服可以洗,各种衣物清洗,是否能清洗衣物","zh-CN","我们提供各式衣物清洗服务，无论是衣服、外套、衬衫等都可以清洗。👕"
"clothing cleaning,clothes cleaning,coat cleaning,shirt cleaning,pants cleaning,skirt cleaning,can wash clothes,what clothes can be washed,various clothing cleaning,can you wash clothes","en","We provide various clothing cleaning services, including clothes, coats, shirts, etc. 👕"
"衣類クリーニング,服クリーニング,コートクリーニング,シャツクリーニング,ズボンクリーニング,スカートクリーニング,服洗えますか,どんな服洗える,様々な衣類クリーニング,服は洗えますか","ja","衣類、コート、シャツなど、様々な衣類のクリーニングサービスを提供しております。👕"
"의류 세탁,옷 세탁,코트 세탁,셔츠 세탁,바지 세탁,치마 세탁,옷 세탁 되나요,무슨 옷 세탁,옷 종류 세탁,다양한 의류 세탁,옷 세탁 가능","ko","저희는 옷, 코트, 셔츠 등 다양한 의류 세탁 서비스를 제공합니다. 👕"
"寶寶汽座,汽座","zh-TW","我們有清洗寶寶汽座，費用是 $900 👶"
"宝宝汽座,汽座","zh-CN","我们有清洗宝宝汽座，费用是 $900 👶"
"baby car seat,car seat","en","We clean baby car seats, the fee is $900 👶"
"ベビーシート,チャイルドシート,カーシート","ja","ベビーシートのクリーニングを承っております。料金は900ドルです👶"
"아기 카시트,카시트","ko","아기 카시트 세척해 드립니다. 비용은 900달러입니다 👶"
"手推車","zh-TW","我們有清洗手推車，寶寶單人手推車費用是 $1200 🛒，雙人手推車費用是 $1800 🛒"
"手推车","zh-CN","我们有清洗手推车，宝宝单人手推车费用是 $1200 🛒，双人手推车费用是 $1800 🛒"
"stroller,baby stroller,pram","en","We clean strollers. Single baby stroller cleaning fee is $1200 🛒, double stroller is $1800 🛒"
"ベビーカー,乳母車","ja","ベビーカーのクリーニングを承っております。シングルベビーカーは1200ドル🛒、二人乗りベビーカーは1800ドル🛒です。"
"유모차","ko","유모차 세척해 드립니다. 싱글 유모차 세척 비용은 1200달러 🛒, 쌍둥이 유모차는 1800달러 🛒입니다."
"書包","zh-TW","我們有清洗書包，費用是 $550 🎒"
"书包","zh-CN","我们有清洗书包，费用是 $550 🎒"
"backpack,school bag","en","We clean backpacks, the fee is $550 🎒"
"リュックサック,ランドセル,スクールバッグ","ja","リュックサックのクリーニングを承っております。料金は550ドルです🎒"
"책가방,배낭","ko","책가방 세척해 드립니다. 비용은 550달러입니다 🎒"
"洗的掉","zh-TW","我們會針對污漬做專門處理，大部分污漬都可以變淡，但成功率視污漬種類與衣物材質而定喔！✨"
"洗的掉","zh-CN","我们会针对污渍做专门处理，大部分污渍都可以变淡，但成功率视污渍种类与衣物材质而定喔！✨"
"washable","en","We will treat stains specifically, most stains can be lightened, but the success rate depends on the type of stain and the material of the clothing! ✨"
"洗える,落ちる","ja","シミの種類に応じて専門的な処理を行い、ほとんどのシミは薄くすることができますが、成功率はシミの種類や衣類の素材によって異なります！✨"
"지워져요,세탁 돼요","ko","얼룩에 대해 전문적으로 처리해 드리며, 대부분의 얼룩은 옅어질 수 있지만 성공률은 얼룩 종류와 의류 재질에 따라 달라집니다! ✨"
"洗掉","zh-TW","我們會盡力處理污漬，但滲透到纖維或時間較久的污漬可能無法完全去除，請見諒！😊"
"洗掉","zh-CN","我们会尽力处理污渍，但渗透到纤维或时间较久的污渍可能无法完全去除，请见谅！😊"
"remove stain","en","We will do our best to treat stains, but stains that have penetrated into the fibers or are old may not be completely removed, please understand! 😊"
"落とす,除去","ja","シミの処理には最善を尽くしますが、繊維に浸透したシミや時間の経過したシミは完全に除去できない場合があります。ご了承ください！😊"
"지워주세요,빼주세요","ko","얼룩을 최대한 처리해 드리겠지만, 섬유에 침투했거나 오래된 얼룩은 완전히 제거되지 않을 수 있습니다. 양해 부탁드립니다! 😊"
"染色","zh-TW","染色問題我們會盡量處理，但如果滲透到衣物纖維或面積較大，不能保證完全處理喔！🌈"
"染色","zh-CN","染色问题我们会尽量处理，但如果渗透到衣物纤维或面积较大，不能保证完全处理喔！🌈"
"dyeing","en","We will try our best to deal with dyeing issues, but if it has penetrated into the clothing fibers or the area is large, complete removal cannot be guaranteed! 🌈"
"染色","ja","染色の問題にはできる限り対応しますが、衣類の繊維に浸透していたり、面積が大きい場合は、完全に除去できるとは限りません！🌈"
"염색","ko","염색 문제는 최대한 처리해 드리겠지만, 의류 섬유에 침투했거나 면적이 넓은 경우에는 완전한 처리를 보장할 수 없습니다! 🌈"
"退色","zh-TW","已經退色的衣物是無法恢復的，請見諒！🎨"
"退色","zh-CN","已经退色的衣物是无法恢复的，请见谅！🎨"
"fading","en","Clothes that have already faded cannot be restored, please understand! 🎨"
"退色","ja","すでに色あせた衣類は元に戻せません。ご了承ください！🎨"
"탈색","ko","이미 탈색된 의류는 복원할 수 없습니다. 양해 부탁드립니다! 🎨"
"地毯,有洗地毯,有清洗地毯","zh-TW","我們提供地毯清洗服務，請告知我們您需要清洗的地毯狀況，我們會跟您回覆清洗價格。🧹"
"地毯,有洗地毯,有清洗地毯","zh-CN","我们提供地毯清洗服务，请告知我们您需要清洗的地毯状况，我们会跟您回复清洗价格。🧹"
"carpet,carpet cleaning","en","We provide carpet cleaning services. Please tell us the condition of the carpet you need to clean, and we will reply with the cleaning price. 🧹"
"カーペット,カーペットクリーニング","ja","カーペットクリーニングサービスを提供しております。クリーニングが必要なカーペットの状態をお知らせいただければ、クリーニング料金をお知らせいたします。🧹"
"카펫,카펫 세탁","ko","카펫 세탁 서비스를 제공합니다. 세탁이 필요한 카펫 상태를 알려주시면 세탁 가격을 알려드리겠습니다. 🧹"
"窗簾,有洗窗簾,有清洗窗簾","zh-TW","我們提供窗簾清洗服務，請提供您的窗簾尺寸和材質，我們會跟您回覆清洗價格。🪟"
"窗帘,有洗窗帘,有清洗窗帘","zh-CN","我们提供窗帘清洗服务，请提供您的窗帘尺寸和材质，我们会跟您回复清洗价格。🪟"
"curtain,curtain cleaning","en","We provide curtain cleaning services. Please provide your curtain size and material, and we will reply with the cleaning price. 🪟"
"カーテン,カーテンクリーニング","ja","カーテンクリーニングサービスを提供しております。カーテンのサイズと素材をお知らせいただければ、クリーニング料金をお知らせいたします。🪟"
"커튼,커튼 세탁","ko","커튼 세탁 서비스를 제공합니다. 커튼 사이즈와 재질을 알려주시면 세탁 가격을 알려드리겠습니다. 🪟"
"是否能清洗衣物","zh-TW","我們提供各式衣物清洗服務，無論是衣服、外套、襯衫等都可以清洗。👕"
"是否能清洗衣物","zh-CN","我们提供各式衣物清洗服务，无论是衣服、外套、衬衫等都可以清洗。👕"
"can you wash clothes","en","We provide various clothing cleaning services, including clothes, coats, shirts, etc. 👕"
"服は洗えますか","ja","衣類、コート、シャツなど、様々な衣類のクリーニングサービスを提供しております。👕"
"옷 세탁 가능","ko","저희는 옷, 코트, 셔츠 등 다양한 의류 세탁 서비스를 제공합니다. 👕"
"收回了嗎,來收了嗎,收走了嗎,收走,拿了嗎,收了嗎,收件了嗎,拿走","zh-TW","今日會收回，收回也會跟您通知的🚚。"
"收回了吗,来收了吗,收走了吗,收走,拿了吗,收了吗,收件了吗,拿走","zh-CN","今日会收回，收回也会跟您通知的🚚。"
"picked up?,has it been picked up?,was it picked up?,will it be picked up?,is it picked up?,collection,collected","en","It will be picked up today, and we will notify you when it's collected. 🚚"
"回収されましたか,集荷されましたか,回収済みですか,集荷済みですか,回収は,集荷は","ja","本日回収いたします。回収次第ご連絡いたします🚚"
"수거 됐나요,수거 완료 됐나요,회수 됐나요,회수 완료 됐나요,수거,회수","ko","오늘 수거 예정입니다. 수거 완료되면 알려드릴게요🚚"
